Cities,Latitude,Temp,Humidity,Cloud Cover,Wind Speed
Los Llanos de Aridane,28.66,18.0,42,0,1.5
Rikitea,-23.12,26.64,100,80,5.57
Port Alfred,-33.59,19.72,96,48,3.02
Hilo,19.71,22.0,73,90,4.6
Vaini,15.34,20.0,56,0,1.57
Te Anau,-45.41,11.84,51,0,1.32
Thompson,55.74,-26.0,56,5,4.1
Cape Town,-33.93,19.0,100,0,4.6
Doka,13.52,26.04,30,0,5.17
Esperance,10.24,23.0,94,75,2.6
Jalu,29.03,8.67,80,0,3.02
Kaitangata,-46.28,13.54,67,0,4.67
Vostok,46.45,-7.71,71,76,2.47
Sibolga,1.74,19.39,100,8,1.07
Ushuaia,-54.81,6.0,48,75,9.8
Khatanga,71.98,-24.29,56,56,1.52
Port Elizabeth,39.31,8.79,81,1,5.1
Klaksvik,62.23,9.0,100,88,4.1
Elko,40.83,4.0,60,90,4.1
Lere,9.66,24.87,85,92,1.82
Am Timan,11.04,28.54,50,24,5.72
Huarmey,-10.07,22.62,77,24,1.52
Greenwood,32.03,13.29,30,0,4.1
Mar del Plata,-46.43,9.67,64,32,5.67
Butaritari,3.07,28.62,100,44,7.87
Jamestown,-33.21,26.47,40,20,3.42
Bambous Virieux,-20.34,27.0,83,75,2.1
Albany,42.65,4.0,80,90,7.2
Palmer,-34.85,34.0,14,0,3.1
Mataura,-46.19,14.64,57,0,3.22
Puerto Ayora,-0.74,29.0,74,75,4.1
Broken Hill,-31.97,28.0,24,48,6.2
Golubitskaya,45.32,-6.0,92,36,3.0
Lagos,6.46,23.0,100,20,3.47
San Jose,15.79,21.64,83,8,1.27
Xichang,27.88,7.27,25,0,1.22
Slave Lake,55.28,-22.0,69,1,1.0
Necochea,-38.55,13.02,83,32,7.02
Arraial do Cabo,-22.97,27.04,86,64,3.02
Castro,-42.48,11.0,62,0,2.6
Hermanus,-34.42,13.52,97,0,1.22
Road Town,18.42,25.0,65,20,4.1
Kodiak,39.95,-7.35,67,1,4.6
Ballina,54.11,11.47,87,76,6.32
Khasan,42.43,-0.11,77,0,2.92
Avarua,-21.21,27.0,69,0,4.6
Mahebourg,-20.41,27.0,83,75,2.1
Tripoli,37.51,6.0,56,56,4.1
Kushima,31.5,11.95,87,75,3.1
Lakselv,70.05,1.28,74,90,10.3
Tiksi,71.64,-21.26,56,68,8.42
Pangkalanbuun,-2.68,23.79,99,24,1.87
Hasaki,35.73,10.41,71,75,3.1
Tasiilaq,65.61,0.0,91,92,22.1
Souillac,45.6,5.0,93,20,1.5
Gat,14.69,22.0,43,0,4.6
Ayagoz,47.96,-15.34,73,32,2.57
Busselton,-33.64,20.17,100,20,10.72
Taoudenni,22.68,12.89,24,0,4.57
Saint-Augustin,44.83,3.8,93,0,1.0
Enshi,30.29,1.62,97,88,1.37
Kruisfontein,-34.0,15.72,87,0,1.27
Uyuni,-20.46,12.52,43,88,1.42
Bambanglipuro,-7.95,23.59,98,0,1.87
Mount Isa,-20.73,31.0,48,12,5.1
Jackville,5.21,28.0,94,20,3.6
Kiunga,-6.12,25.89,88,76,1.22
Hithadhoo,-0.6,28.12,100,92,3.22
Kapaa,22.08,26.0,61,20,7.7
Bluff,-23.58,28.64,41,0,5.77
Ruteng,-8.61,25.37,89,8,1.62
Sonipat,29.0,13.0,82,20,1.5
Tabou,4.42,28.39,97,0,5.82
Felanitx,39.47,3.0,100,0,1.0
Yasenskaya,46.36,-10.54,100,36,1.87
Amahai,-3.31,28.49,100,64,2.37
Chuy,-33.69,19.54,84,48,4.57
Tuatapere,-46.13,12.72,94,0,2.07
Georgetown,6.8,24.66,74,20,4.1
Bredasdorp,-34.53,17.0,88,12,1.27
Shuangyang,25.0,10.14,95,88,1.87
Lingyuan,41.24,-7.16,52,0,1.17
Nikolskoye,59.7,2.0,80,75,7.0
Chokurdakh,70.62,-39.51,0,0,2.42
Quatre Cocos,-20.21,27.0,83,75,2.1
Provideniya,64.42,0.0,92,75,12.0
Tuktoyaktuk,69.44,-13.0,84,75,2.6
Alofi,-19.06,27.0,83,88,6.2
New Norfolk,-42.78,26.0,22,0,4.6
Kamina,-8.74,20.09,87,36,0.87
Kalispell,48.2,-9.0,56,90,9.8
Salalah,17.01,23.0,78,20,1.0
Atuona,-9.8,26.84,100,20,5.07
Timra,62.49,6.58,52,0,6.7
Lebu,8.96,14.0,71,20,2.1
Yellowknife,62.45,-23.0,63,40,1.5
Punta Arenas,-53.16,8.0,65,0,9.3
Salinas,36.67,13.02,66,1,4.6
Cabras,5.5,16.14,96,92,0.52
Chifeng,42.27,-9.51,55,0,1.22
Leningradskiy,69.38,-15.29,100,64,4.02
Vila Velha,-3.71,26.0,83,20,1.5
Marystown,47.17,-11.36,100,0,4.22
Athabasca,54.72,-18.59,76,0,1.52
Faya,18.39,16.0,55,40,1.5
Egvekinot,66.32,-8.91,77,56,7.52
Ostrovnoy,68.05,0.72,100,92,3.97
Yumen,40.29,-13.26,61,0,1.57
Khandyga,62.65,-30.11,63,56,1.22
Brandon,43.59,-17.51,70,1,8.7
Rawson,-43.3,10.62,40,0,8.27
Blind River,46.19,-3.49,92,90,6.2
Komsomolskiy,67.55,-9.49,78,92,3.22
Beloha,-25.17,21.79,90,0,1.87
Ancud,-41.87,11.0,62,0,2.6
Port Moresby,-9.47,32.0,59,40,8.7
Saint-Francois,46.42,1.0,81,0,1.0
